image_name,split_before,split_after,capture_date
IMG20240219114019_jpg.rf.7e5ca38d2f0b28d4fd5550b423f43958.jpg,train,valid,20240219
IMG20240219114504_jpg.rf.649da3e9a796a9626c9b846de24845ca.jpg,train,test,20240219
IMG20240219115245_jpg.rf.f2b3289025d755fa0a4cf0052e602f33.jpg,train,valid,20240219
IMG20240220114456_jpg.rf.2a8b223940df10351506d859931c00cc.jpg,train,valid,20240220
IMG20240220114626_jpg.rf.e16070c121236907f7d804d413a3a63c.jpg,train,test,20240220
IMG20240220115011_jpg.rf.a79cd76ade4d3e374964f5268df9d7ac.jpg,train,test,20240220
IMG20240220115805_jpg.rf.7153fb8af91320ce28df17fc5baf939d.jpg,train,test,20240220
IMG20240220115829_jpg.rf.d7948fd8f8d65c4f0ddd48e0ad86855e.jpg,train,valid,20240220
IMG20240220120021_jpg.rf.70847e4ad1926d20b0f2ad4a08b75b57.jpg,train,valid,20240220
IMG20240220120432_jpg.rf.02a86e39f74317390c611e8e87e8b98b.jpg,train,test,20240220
IMG20240220120634_jpg.rf.d71370a3ecdc28ba315eb923ba0f4f18.jpg,train,valid,20240220
IMG20240220122259_jpg.rf.28fc7086b227ff08ff4146701aff5b72.jpg,train,valid,20240220
IMG20240220133541_jpg.rf.2eaf09a030c86d2e25b15265d4dda478.jpg,train,valid,20240220
IMG20240220133619_jpg.rf.a380190a5910ee4e6cfd8813a835451b.jpg,train,valid,20240220
IMG20240220133631_jpg.rf.a96f657a599afabf66c86f80d54b89d4.jpg,train,valid,20240220
IMG20240220134510_jpg.rf.dc4295e66d86ad70ee0754d4e4bc53a9.jpg,train,valid,20240220
IMG20240220134936_jpg.rf.8c772ae6b3dd5a47797f37e20f095b43.jpg,train,test,20240220
IMG20240220135346_jpg.rf.79ab8286fe01a64edf34600489fa90e1.jpg,train,test,20240220
IMG20240220135357_jpg.rf.dddd45d8ff1c13921f10e28535aeb87f.jpg,train,test,20240220
IMG20240220135358_jpg.rf.e047aa7d3112bf56ea1a4d99c054a1ea.jpg,train,test,20240220
IMG20240228123512_jpg.rf.1f0dcc49e9da900fc2ec3e4b9f7564c1.jpg,valid,train,20240228
IMG20240228123522_jpg.rf.3838891762e9ba2981d5211a1ff0c88f.jpg,valid,train,20240228
IMG20240228123839_jpg.rf.6b920f975563032e5c575805b0b7973b.jpg,valid,train,20240228
IMG20240228124759_jpg.rf.15272fefe1992d0dd512cdaceba6677b.jpg,valid,train,20240228
IMG20240228125011_jpg.rf.cfa2df7df206cf6b8e0138d78958810f.jpg,valid,train,20240228
IMG20240228125017_jpg.rf.8a3217757804b6fce19cb6a03d6135e6.jpg,valid,train,20240228
IMG20240228125025_jpg.rf.520ee39f630ae0792810d7ecda17676b.jpg,valid,train,20240228
IMG20240228125354_jpg.rf.f82b31e866daa97dde567af30f9d8885.jpg,valid,train,20240228
IMG20240228131521_jpg.rf.b6b8592c674d2b88ffd39332fcae714c.jpg,valid,train,20240228
IMG20240228131534_jpg.rf.fc14c1757791719f09b200904167a3e4.jpg,valid,train,20240228
IMG20240228131859_jpg.rf.546b55274e27cdd18e0351b774469d21.jpg,valid,train,20240228
IMG20240228131905_jpg.rf.cf29ac8d6fea65bc6e6932a0669dc639.jpg,valid,train,20240228
