image_name,split
IMG20240219113638_jpg.rf.ff06b9b93da9ca10600f9c4ababc261f.jpg,train
IMG20240219113649_jpg.rf.0aa36d5700345b509e0a4b943ae620cd.jpg,train
IMG20240219113715_jpg.rf.a71fa6e6f4be2b70af832b77db7ee10d.jpg,train
IMG20240219113726_jpg.rf.55744d06df6f9a980cafa653da6d9b48.jpg,train
IMG20240219113745_jpg.rf.06494033a07fb1bb98e68899ace88cad.jpg,train
IMG20240219113811_jpg.rf.853ed66628e62730303001169398df70.jpg,train
IMG20240219113827_jpg.rf.fc53e3973d4d279627bfa70925f40467.jpg,train
IMG20240219113831_jpg.rf.c546f290f32c7c84d78911a1a716b944.jpg,train
IMG20240219113846_jpg.rf.7ea697e799c1b61ff75368d197f98147.jpg,train
IMG20240219113926_jpg.rf.84eee4e2f45e674df66fd8813d600dd0.jpg,train
IMG20240219114019_jpg.rf.7e5ca38d2f0b28d4fd5550b423f43958.jpg,valid
IMG20240219114129_jpg.rf.5bd9508dadfcf473f9fa459f658ebd7d.jpg,train
IMG20240219114134_jpg.rf.4bc55d90bdd80a3ed581a792bd8283a6.jpg,train
IMG20240219114137_jpg.rf.31b1df14303b1b879f6e83bb9bf22532.jpg,train
IMG20240219114212_jpg.rf.eeceef4fd2127ed884e18f56b69df35c.jpg,train
IMG20240219114248_jpg.rf.9642bfcbcd9c0de33a9f7e7c9f10bf33.jpg,train
IMG20240219114301_jpg.rf.709dcb36afcbb1ba376cecb32af4f491.jpg,train
IMG20240219114308_jpg.rf.bb87cff4bdb369a10c0b7256b1d57e5b.jpg,train
IMG20240219114447_jpg.rf.17f4ae6e5444f7c13b822060f07aaa20.jpg,train
IMG20240219114504_jpg.rf.649da3e9a796a9626c9b846de24845ca.jpg,test
IMG20240219114702_jpg.rf.aa8cc2028450505ded2e941e2c468914.jpg,train
IMG20240219114753_jpg.rf.a37914f02e28a2c9d5b739ffa13d3544.jpg,train
IMG20240219114836_jpg.rf.f5d72e6b89900f3facec4d7bd1686c11.jpg,train
IMG20240219114926_jpg.rf.fea90bf0bcb4c5e8e654695062c4caec.jpg,train
IMG20240219114955_jpg.rf.4514606f08d6f93c4b26168a5987cbba.jpg,train
IMG20240219115229_jpg.rf.a37402cb808ab8b02b9c5e83cfe6b464.jpg,train
IMG20240219115245_jpg.rf.f2b3289025d755fa0a4cf0052e602f33.jpg,valid
IMG20240219115331_jpg.rf.21c25a9cc3bb044f1e64133cea28b8ad.jpg,train
IMG20240219115446_jpg.rf.72da1c2de57a4e9a02810108a9b9c712.jpg,train
IMG20240219120243_jpg.rf.ef7dc9df19599d3940879a52fabbc5a6.jpg,train
IMG20240219120257_jpg.rf.43329236210a733f40e05e80fd7b90f0.jpg,train
IMG20240219120325_jpg.rf.5473ac4d4e57b2a0d616aca88ec6bf47.jpg,train
IMG20240219120330_jpg.rf.eb13387a91e27d3b5172543fd5bd70bc.jpg,train
IMG20240220114456_jpg.rf.2a8b223940df10351506d859931c00cc.jpg,valid
IMG20240220114517_jpg.rf.382b17ff04a455e97beb75b57e67da7e.jpg,train
IMG20240220114530_jpg.rf.b1fd5f294a40091465e29d0ed0b70531.jpg,train
