class,split,AP50_95
1-5-Volt-Battery,val,0.6159
3-3-Volt-Battery,val,0.5763
7-Segment-Display,val,0.6287
9-Volt-Battery,val,0.7984
Arduino-Mega,val,0.7744
Arduino-Nano,val,0.6392
Arduino-Uno,val,0.7815
BJT-Transistor,val,0.415
Bluetooth-Module,val,0.6546
Breadboard,val,0.745
Bridge-Rectifier,val,0.8012
Buck-Converter,val,0.7078
Buzzer,val,0.5636
Capacitor-10mf,val,0.4754
Capacitor-470mf,val,0.4868
DC-Motor,val,0.5624
Diode,val,0.7265
ESP32,val,0.6035
ESP32-CAM,val,0.6384
FT-232-USB-Serial-Module,val,0.5732
Film-Capacitor,val,0.5916
Fuse,val,0.3284
Fuse-Base,val,0.6191
GSM-Module,val,0.7749
Gas-Sensor,val,0.5963
Heat-Sink,val,0.6891
High-Voltage-Ceramic-Capacitor,val,0.6405
Humidity-Sensor,val,0.6978
IC-Base-14-Pin,val,0.6157
IC-Base-28-Pin,val,0.6582
IC-Chip,val,0.2097
IGBT,val,0.4596
IR-Sensor,val,0.5837
Inductor,val,0.4075
Keypad,val,0.5148
LCD-Display,val,0.8699
LDR-Sensor,val,0.6009
LED-Light,val,0.6506
Low-Voltage-Ceramic-Capacitor,val,0.3634
MLC-Capacitor,val,0.5228
MOSFET,val,0.488
Motion-Sensor,val,0.8083
Motor-Driver,val,0.8007
NTC-Thermistor,val,0.4407
OLED-Display,val,0.7761
Pin-Header,val,0.4628
Push-Switch,val,0.507
RFID-Scanner,val,0.955
Raindrops-Module,val,0.7619
Relay-Module,val,0.7656
Resistor,val,0.6313
Rocker-Switch,val,0.5982
Servo-Motor,val,0.4266
Soil-Moisture-Sensor,val,0.6936
Sonar-Sensor,val,0.6623
TCRT5000,val,0.4301
Tact-Switch,val,0.3468
Taper-Potentiometer,val,0.4903
Trimmer-Potentiometer,val,0.4536
Water-Sensor,val,0.7831
Zener-Diode,val,0.2837
1-5-Volt-Battery,test,0.5056
3-3-Volt-Battery,test,0.6056
7-Segment-Display,test,0.5784
9-Volt-Battery,test,0.8206
Arduino-Mega,test,0.7458
Arduino-Nano,test,0.6163
Arduino-Uno,test,0.8555
BJT-Transistor,test,0.4566
Bluetooth-Module,test,0.6632
Breadboard,test,0.7694
Bridge-Rectifier,test,0.7073
Buck-Converter,test,0.748
Buzzer,test,0.5445
Capacitor-10mf,test,0.5421
Capacitor-470mf,test,0.5483
DC-Motor,test,0.4163
Diode,test,0.5674
ESP32,test,0.4905
ESP32-CAM,test,0.6158
FT-232-USB-Serial-Module,test,0.58
Film-Capacitor,test,0.5976
Fuse,test,0.37
Fuse-Base,test,0.5656
GSM-Module,test,0.7289
Gas-Sensor,test,0.7105
Heat-Sink,test,0.6802
High-Voltage-Ceramic-Capacitor,test,0.5966
Humidity-Sensor,test,0.691
IC-Base-14-Pin,test,0.5685
IC-Base-28-Pin,test,0.6279
IC-Chip,test,0.4305
IGBT,test,0.4763
IR-Sensor,test,0.6185
Inductor,test,0.581
Keypad,test,0.4723
LCD-Display,test,0.8276
LDR-Sensor,test,0.5611
LED-Light,test,0.6909
Low-Voltage-Ceramic-Capacitor,test,0.5168
MLC-Capacitor,test,0.5437
MOSFET,test,0.5224
Motion-Sensor,test,0.673
Motor-Driver,test,0.7995
NTC-Thermistor,test,0.4291
OLED-Display,test,0.8272
Pin-Header,test,0.3573
Push-Switch,test,0.5968
RFID-Scanner,test,0.8755
Raindrops-Module,test,0.7444
Relay-Module,test,0.7063
Resistor,test,0.5582
Rocker-Switch,test,0.6158
Servo-Motor,test,0.5131
Soil-Moisture-Sensor,test,0.6563
Sonar-Sensor,test,0.8155
TCRT5000,test,0.4086
Tact-Switch,test,0.3778
Taper-Potentiometer,test,0.5134
Trimmer-Potentiometer,test,0.4365
Water-Sensor,test,0.7889
Zener-Diode,test,0.2569
