epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.8527,1.66824,3.65635,1.69312,0,0,0,0,5.10389,61836.7,73.5447,0.00329749,0.00329749,0.0703226
2,135.167,1.60465,2.86393,1.65947,0.16949,0.08426,0.00459,0.00233,3.13732,101.535,5.39267,0.00656518,0.00656518,0.0402569
3,187.01,1.56687,2.70075,1.64128,0.12266,0.25549,0.02285,0.00959,2.5286,16.6024,3.4149,0.00976687,0.00976687,0.0101253
4,234.763,1.54608,2.51906,1.62035,0.11277,0.34102,0.09658,0.04938,2.08184,4.49634,2.4668,0.009703,0.009703,0.009703
5,282.634,1.52751,2.36395,1.60334,0.225,0.30497,0.13959,0.07507,1.77436,3.82394,2.15041,0.009604,0.009604,0.009604
6,330.402,1.4976,2.22853,1.56332,0.37757,0.18967,0.09451,0.05233,1.71627,4.80965,2.11659,0.009505,0.009505,0.009505
7,377.829,1.47025,2.2033,1.56469,0.19689,0.36961,0.18514,0.10313,1.70636,3.28449,2.01024,0.009406,0.009406,0.009406
8,425.276,1.41875,2.04217,1.50425,0.34613,0.37309,0.25166,0.14435,1.56845,3.04379,1.83748,0.009307,0.009307,0.009307
9,472.623,1.41771,1.94373,1.52291,0.24539,0.40482,0.25706,0.14808,1.56226,3.05189,1.84599,0.009208,0.009208,0.009208
10,520.08,1.41669,1.93731,1.52045,0.26103,0.42655,0.24653,0.14157,1.55042,3.11078,1.86513,0.009109,0.009109,0.009109
11,567.414,1.38064,1.81803,1.48717,0.3744,0.50769,0.46492,0.29074,1.41223,2.09085,1.7534,0.00901,0.00901,0.00901
12,614.819,1.39534,1.78866,1.50932,0.34415,0.52761,0.42865,0.26015,1.48368,2.11489,1.74806,0.008911,0.008911,0.008911
13,662.261,1.37309,1.74802,1.48039,0.43288,0.45377,0.44593,0.27085,1.43525,2.14537,1.74758,0.008812,0.008812,0.008812
14,709.567,1.37266,1.67536,1.47599,0.44553,0.45168,0.4486,0.27282,1.47243,2.20816,1.78701,0.008713,0.008713,0.008713
15,756.962,1.35085,1.64781,1.4616,0.43931,0.48862,0.45108,0.2721,1.46866,2.05504,1.77171,0.008614,0.008614,0.008614
16,804.381,1.34579,1.59824,1.45642,0.41705,0.54303,0.47845,0.29184,1.42676,2.18085,1.69517,0.008515,0.008515,0.008515
17,851.895,1.33067,1.58892,1.44729,0.49093,0.46138,0.48506,0.30069,1.47091,2.01264,1.79449,0.008416,0.008416,0.008416
18,899.402,1.33618,1.53524,1.46209,0.43683,0.56823,0.53553,0.32394,1.47237,1.7655,1.78339,0.008317,0.008317,0.008317
19,946.85,1.34235,1.51539,1.45247,0.544,0.60523,0.62679,0.39255,1.38012,1.63216,1.68611,0.008218,0.008218,0.008218
20,994.428,1.34511,1.49498,1.46533,0.48328,0.58858,0.5743,0.35285,1.41297,1.70707,1.71613,0.008119,0.008119,0.008119
21,1041.79,1.31462,1.41153,1.42699,0.57562,0.56139,0.61574,0.38113,1.39439,1.63701,1.66799,0.00802,0.00802,0.00802
22,1089.04,1.30237,1.42902,1.41859,0.59796,0.60105,0.64935,0.41066,1.35174,1.49867,1.63338,0.007921,0.007921,0.007921
23,1136.31,1.29754,1.40007,1.42391,0.62176,0.58021,0.64045,0.40521,1.36109,1.53638,1.65026,0.007822,0.007822,0.007822
24,1183.49,1.29727,1.39484,1.42569,0.57344,0.60347,0.65415,0.41,1.36216,1.52904,1.63843,0.007723,0.007723,0.007723
25,1230.61,1.28816,1.39014,1.41518,0.62809,0.60319,0.67699,0.42268,1.35391,1.36469,1.63332,0.007624,0.007624,0.007624
26,1277.89,1.29575,1.35659,1.41585,0.5912,0.60273,0.65127,0.41046,1.34592,1.60343,1.62558,0.007525,0.007525,0.007525
27,1325.13,1.27778,1.34487,1.40062,0.59131,0.64572,0.69679,0.43019,1.38602,1.40418,1.66735,0.007426,0.007426,0.007426
28,1372.45,1.26222,1.30886,1.39834,0.60871,0.67033,0.69532,0.44046,1.34319,1.41044,1.60519,0.007327,0.007327,0.007327
29,1419.64,1.27273,1.29695,1.39467,0.66824,0.67233,0.72683,0.45614,1.34224,1.32803,1.65045,0.007228,0.007228,0.007228
30,1466.84,1.2573,1.27141,1.39533,0.59472,0.631,0.6732,0.41932,1.37733,1.42952,1.65961,0.007129,0.007129,0.007129
31,1513.97,1.24461,1.24132,1.385,0.6077,0.65547,0.71212,0.45183,1.3304,1.43935,1.62258,0.00703,0.00703,0.00703
32,1561.13,1.25915,1.24444,1.38682,0.66532,0.66129,0.7322,0.45162,1.36243,1.32031,1.64947,0.006931,0.006931,0.006931
33,1608.19,1.24163,1.20476,1.38127,0.66462,0.66103,0.74059,0.47699,1.3156,1.30452,1.59504,0.006832,0.006832,0.006832
34,1655.39,1.24401,1.22577,1.38627,0.68523,0.68116,0.77371,0.4908,1.30111,1.24498,1.5821,0.006733,0.006733,0.006733
35,1702.57,1.24069,1.18155,1.37639,0.74222,0.71681,0.79072,0.50502,1.30138,1.17569,1.5762,0.006634,0.006634,0.006634
36,1749.75,1.22851,1.16948,1.37112,0.63528,0.69804,0.72621,0.46126,1.31567,1.29165,1.59018,0.006535,0.006535,0.006535
37,1796.91,1.22667,1.16006,1.36907,0.738,0.70689,0.77498,0.49584,1.29344,1.18255,1.57675,0.006436,0.006436,0.006436
38,1844.08,1.21904,1.15432,1.35689,0.73275,0.66631,0.77509,0.49304,1.31126,1.23648,1.57571,0.006337,0.006337,0.006337
39,1891.26,1.20292,1.1276,1.35137,0.65759,0.68781,0.7398,0.46976,1.28571,1.30303,1.57787,0.006238,0.006238,0.006238
40,1938.53,1.22165,1.14435,1.36349,0.68709,0.70637,0.76072,0.48845,1.31682,1.24135,1.60636,0.006139,0.006139,0.006139
41,1985.75,1.20926,1.11939,1.34002,0.6546,0.70365,0.76671,0.48807,1.29311,1.26487,1.58427,0.00604,0.00604,0.00604
42,2033.09,1.20486,1.10601,1.34199,0.73743,0.71943,0.80399,0.51071,1.31035,1.10404,1.57388,0.005941,0.005941,0.005941
43,2080.56,1.20116,1.09742,1.3475,0.63857,0.62171,0.67885,0.43919,1.31542,1.37935,1.59906,0.005842,0.005842,0.005842
44,2127.9,1.20993,1.10077,1.35138,0.76119,0.74479,0.82382,0.52924,1.27417,1.10864,1.56005,0.005743,0.005743,0.005743
45,2175.3,1.19347,1.06332,1.33938,0.70272,0.7166,0.78331,0.49268,1.32037,1.15846,1.59341,0.005644,0.005644,0.005644
46,2222.69,1.21544,1.09248,1.354,0.72158,0.72347,0.7816,0.49971,1.28929,1.13931,1.57608,0.005545,0.005545,0.005545
47,2270.06,1.18977,1.06554,1.33328,0.70196,0.723,0.79531,0.52084,1.2877,1.17037,1.55107,0.005446,0.005446,0.005446
48,2317.46,1.1859,1.05561,1.34054,0.69859,0.71539,0.78234,0.49585,1.31101,1.19682,1.60229,0.005347,0.005347,0.005347
49,2364.69,1.18144,1.05532,1.34076,0.7485,0.72669,0.81448,0.52107,1.27239,1.08699,1.55819,0.005248,0.005248,0.005248
50,2411.9,1.18289,1.0235,1.3328,0.71625,0.76283,0.81854,0.53008,1.28586,1.07539,1.559,0.005149,0.005149,0.005149
51,2459.09,1.17876,1.02585,1.32799,0.71699,0.76646,0.80849,0.52766,1.28038,1.06775,1.55498,0.00505,0.00505,0.00505
52,2506.26,1.18003,1.01057,1.3359,0.76876,0.7547,0.8219,0.53708,1.25723,1.04757,1.53671,0.004951,0.004951,0.004951
53,2553.53,1.18575,1.03475,1.32952,0.75328,0.76491,0.83746,0.54272,1.2758,1.01556,1.55484,0.004852,0.004852,0.004852
54,2600.8,1.17411,1.02169,1.33309,0.75595,0.77754,0.8313,0.53731,1.26009,1.02479,1.55188,0.004753,0.004753,0.004753
55,2648.03,1.16657,1.00542,1.32708,0.74844,0.75296,0.82825,0.53813,1.26492,1.02821,1.55477,0.004654,0.004654,0.004654
56,2695.17,1.15531,0.98789,1.3183,0.74719,0.79485,0.83875,0.5474,1.26483,0.99185,1.55408,0.004555,0.004555,0.004555
57,2742.37,1.15344,0.98564,1.3195,0.75897,0.7659,0.8363,0.54365,1.25278,1.01392,1.55294,0.004456,0.004456,0.004456
58,2789.42,1.14482,0.96563,1.31328,0.72789,0.77374,0.82573,0.53411,1.27006,1.05861,1.55101,0.004357,0.004357,0.004357
59,2836.53,1.15119,0.98555,1.31508,0.72864,0.78825,0.83562,0.53772,1.28273,1.04095,1.56024,0.004258,0.004258,0.004258
60,2883.69,1.14232,0.95073,1.31199,0.7694,0.76145,0.84072,0.53894,1.2789,1.00423,1.54407,0.004159,0.004159,0.004159
61,2930.78,1.1448,0.93538,1.29635,0.75374,0.77906,0.83934,0.54313,1.26362,0.98139,1.54574,0.00406,0.00406,0.00406
62,2977.89,1.14033,0.94246,1.30301,0.79192,0.77441,0.84508,0.55604,1.24451,0.98942,1.52958,0.003961,0.003961,0.003961
63,3025.1,1.12465,0.93102,1.29587,0.78247,0.78479,0.84317,0.55507,1.24546,0.94074,1.53289,0.003862,0.003862,0.003862
64,3072.23,1.11999,0.92012,1.29868,0.77556,0.77502,0.84688,0.55684,1.25091,0.96609,1.53551,0.003763,0.003763,0.003763
65,3119.39,1.12802,0.92468,1.29316,0.76419,0.79181,0.84571,0.55247,1.25191,0.94322,1.54476,0.003664,0.003664,0.003664
66,3166.42,1.12512,0.92537,1.29781,0.77463,0.81683,0.86111,0.56265,1.23394,0.92751,1.51947,0.003565,0.003565,0.003565
67,3213.57,1.13187,0.9156,1.28843,0.79987,0.81532,0.86466,0.56792,1.2303,0.92233,1.50553,0.003466,0.003466,0.003466
68,3260.7,1.1165,0.91268,1.28909,0.77515,0.79588,0.85908,0.56019,1.24283,0.93078,1.52486,0.003367,0.003367,0.003367
