class,split,AP50_95
1-5-Volt-Battery,val,0.608
3-3-Volt-Battery,val,0.5898
7-Segment-Display,val,0.6323
Arduino-Mega,val,0.8778
Arduino-Nano,val,0.6614
Arduino-Uno,val,0.796
BJT-Transistor,val,0.4138
Breadboard,val,0.7793
Bridge-Rectifier,val,0.7821
Buck-Converter,val,0.7555
Capacitor-10mf,val,0.4652
Capacitor-470mf,val,0.4843
DC-Motor,val,0.5775
Diode,val,0.6453
ESP32-CAM,val,0.6539
FT-232-USB-Serial-Module,val,0.6314
Film-Capacitor,val,0.4724
Fuse,val,0.3833
Fuse-Base,val,0.5764
GSM-Module,val,0.7775
Heat-Sink,val,0.7798
Humidity-Sensor,val,0.6699
IC-Base-14-Pin,val,0.6532
IC-Base-28-Pin,val,0.6676
IC-Chip,val,0.5225
IGBT,val,0.4533
IR-Sensor,val,0.5934
Keypad,val,0.4384
Low-Voltage-Ceramic-Capacitor,val,0.3217
MOSFET,val,0.47
Motion-Sensor,val,0.787
NTC-Thermistor,val,0.3928
Pin-Header,val,0.4314
Raindrops-Module,val,0.8111
Relay-Module,val,0.7392
Resistor,val,0.5835
Rocker-Switch,val,0.5593
Servo-Motor,val,0.5967
Soil-Moisture-Sensor,val,0.704
TCRT5000,val,0.5094
Tact-Switch,val,0.3349
Taper-Potentiometer,val,0.5339
Trimmer-Potentiometer,val,0.4927
Water-Sensor,val,0.8021
Zener-Diode,val,0.3381
1-5-Volt-Battery,test,0.6919
3-3-Volt-Battery,test,0.6291
7-Segment-Display,test,0.6913
Arduino-Mega,test,0.8088
Arduino-Nano,test,0.5988
Arduino-Uno,test,0.995
BJT-Transistor,test,0.5551
Breadboard,test,0.7997
Bridge-Rectifier,test,0.747
Buck-Converter,test,0.768
Capacitor-10mf,test,0.5881
Capacitor-470mf,test,0.571
DC-Motor,test,0.4549
Diode,test,0.7455
ESP32,test,0.0
ESP32-CAM,test,0.6378
FT-232-USB-Serial-Module,test,0.6232
Film-Capacitor,test,0.7309
Fuse,test,0.4807
Fuse-Base,test,0.6899
GSM-Module,test,0.7891
Heat-Sink,test,0.8955
Humidity-Sensor,test,0.7337
IC-Base-14-Pin,test,0.6606
IC-Base-28-Pin,test,0.7419
IC-Chip,test,0.6465
IGBT,test,0.5243
IR-Sensor,test,0.539
Keypad,test,0.5074
Low-Voltage-Ceramic-Capacitor,test,0.5145
MOSFET,test,0.5158
Motion-Sensor,test,0.7259
NTC-Thermistor,test,0.4369
Pin-Header,test,0.4934
Raindrops-Module,test,0.7575
Relay-Module,test,0.7671
Resistor,test,0.6581
Rocker-Switch,test,0.6217
Servo-Motor,test,0.1983
Soil-Moisture-Sensor,test,0.692
TCRT5000,test,0.3618
Tact-Switch,test,0.4528
Taper-Potentiometer,test,0.5029
Trimmer-Potentiometer,test,0.4637
Water-Sensor,test,0.8317
Zener-Diode,test,0.3534
