class,split,AP50_95
1-5-Volt-Battery,val,0.6146
3-3-Volt-Battery,val,0.5744
7-Segment-Display,val,0.5571
Arduino-Mega,val,0.8627
Arduino-Nano,val,0.6583
Arduino-Uno,val,0.8596
BJT-Transistor,val,0.3802
Breadboard,val,0.7766
Bridge-Rectifier,val,0.7714
Buck-Converter,val,0.7352
Capacitor-10mf,val,0.4733
Capacitor-470mf,val,0.4943
DC-Motor,val,0.5488
Diode,val,0.7658
ESP32-CAM,val,0.628
FT-232-USB-Serial-Module,val,0.6161
Film-Capacitor,val,0.5062
Fuse,val,0.2137
Fuse-Base,val,0.6102
GSM-Module,val,0.78
Heat-Sink,val,0.8127
Humidity-Sensor,val,0.6944
IC-Base-14-Pin,val,0.6355
IC-Base-28-Pin,val,0.6664
IC-Chip,val,0.311
IGBT,val,0.4295
IR-Sensor,val,0.5822
Keypad,val,0.4702
Low-Voltage-Ceramic-Capacitor,val,0.3509
MOSFET,val,0.4965
Motion-Sensor,val,0.7837
NTC-Thermistor,val,0.4542
Pin-Header,val,0.4646
Raindrops-Module,val,0.7171
Relay-Module,val,0.7664
Resistor,val,0.6479
Rocker-Switch,val,0.5836
Servo-Motor,val,0.6968
Soil-Moisture-Sensor,val,0.6769
TCRT5000,val,0.4101
Tact-Switch,val,0.3453
Taper-Potentiometer,val,0.4727
Trimmer-Potentiometer,val,0.4571
Water-Sensor,val,0.8023
Zener-Diode,val,0.2637
1-5-Volt-Battery,test,0.5445
3-3-Volt-Battery,test,0.607
7-Segment-Display,test,0.6116
Arduino-Mega,test,0.7916
Arduino-Nano,test,0.6145
Arduino-Uno,test,0.8955
BJT-Transistor,test,0.4953
Breadboard,test,0.7656
Bridge-Rectifier,test,0.7958
Buck-Converter,test,0.7788
Capacitor-10mf,test,0.5864
Capacitor-470mf,test,0.5568
DC-Motor,test,0.4237
Diode,test,0.6712
ESP32,test,0.0228
ESP32-CAM,test,0.6093
FT-232-USB-Serial-Module,test,0.6012
Film-Capacitor,test,0.5658
Fuse,test,0.4101
Fuse-Base,test,0.571
GSM-Module,test,0.7438
Heat-Sink,test,0.8955
Humidity-Sensor,test,0.705
IC-Base-14-Pin,test,0.5731
IC-Base-28-Pin,test,0.6854
IC-Chip,test,0.7213
IGBT,test,0.5361
IR-Sensor,test,0.5745
Keypad,test,0.5163
Low-Voltage-Ceramic-Capacitor,test,0.4776
MOSFET,test,0.5133
Motion-Sensor,test,0.7185
NTC-Thermistor,test,0.4483
Pin-Header,test,0.4176
Raindrops-Module,test,0.7298
Relay-Module,test,0.7239
Resistor,test,0.6369
Rocker-Switch,test,0.6407
Servo-Motor,test,0.2881
Soil-Moisture-Sensor,test,0.6665
TCRT5000,test,0.3669
Tact-Switch,test,0.4405
Taper-Potentiometer,test,0.4954
Trimmer-Potentiometer,test,0.4423
Water-Sensor,test,0.7536
Zener-Diode,test,0.2452
