class,split,AP50_95
1-5-Volt-Battery,val,0.6342
3-3-Volt-Battery,val,0.6014
7-Segment-Display,val,0.5969
9-Volt-Battery,val,0.8115
Arduino-Mega,val,0.8242
Arduino-Nano,val,0.6436
Arduino-Uno,val,0.7817
BJT-Transistor,val,0.3832
Bluetooth-Module,val,0.6944
Breadboard,val,0.745
Bridge-Rectifier,val,0.8109
Buck-Converter,val,0.7664
Buzzer,val,0.6206
Capacitor-10mf,val,0.4942
Capacitor-470mf,val,0.4991
DC-Motor,val,0.5865
Diode,val,0.7292
ESP32,val,0.7808
ESP32-CAM,val,0.6613
FT-232-USB-Serial-Module,val,0.6329
Film-Capacitor,val,0.6535
Fuse,val,0.237
Fuse-Base,val,0.5873
GSM-Module,val,0.793
Gas-Sensor,val,0.6407
Heat-Sink,val,0.792
High-Voltage-Ceramic-Capacitor,val,0.6522
Humidity-Sensor,val,0.6891
IC-Base-14-Pin,val,0.6565
IC-Base-28-Pin,val,0.6522
IC-Chip,val,0.528
IGBT,val,0.4514
IR-Sensor,val,0.5994
Inductor,val,0.4769
Keypad,val,0.5
LCD-Display,val,0.9137
LDR-Sensor,val,0.5946
LED-Light,val,0.7215
Low-Voltage-Ceramic-Capacitor,val,0.3645
MLC-Capacitor,val,0.6445
MOSFET,val,0.4919
Motion-Sensor,val,0.8216
Motor-Driver,val,0.907
NTC-Thermistor,val,0.4293
OLED-Display,val,0.8044
Pin-Header,val,0.4511
Push-Switch,val,0.4266
RFID-Scanner,val,0.925
Raindrops-Module,val,0.759
Relay-Module,val,0.7696
Resistor,val,0.6114
Rocker-Switch,val,0.6099
Servo-Motor,val,0.7057
Soil-Moisture-Sensor,val,0.6821
Sonar-Sensor,val,0.6839
TCRT5000,val,0.5247
Tact-Switch,val,0.3485
Taper-Potentiometer,val,0.5088
Trimmer-Potentiometer,val,0.4807
Water-Sensor,val,0.819
Zener-Diode,val,0.3549
1-5-Volt-Battery,test,0.5582
3-3-Volt-Battery,test,0.6304
7-Segment-Display,test,0.6089
9-Volt-Battery,test,0.7449
Arduino-Mega,test,0.7943
Arduino-Nano,test,0.6612
Arduino-Uno,test,0.8475
BJT-Transistor,test,0.4899
Bluetooth-Module,test,0.6853
Breadboard,test,0.7812
Bridge-Rectifier,test,0.7958
Buck-Converter,test,0.7814
Buzzer,test,0.5088
Capacitor-10mf,test,0.5487
Capacitor-470mf,test,0.5371
DC-Motor,test,0.451
Diode,test,0.662
ESP32,test,0.4914
ESP32-CAM,test,0.6577
FT-232-USB-Serial-Module,test,0.6107
Film-Capacitor,test,0.6144
Fuse,test,0.3487
Fuse-Base,test,0.5624
GSM-Module,test,0.7033
Gas-Sensor,test,0.7436
Heat-Sink,test,0.6939
High-Voltage-Ceramic-Capacitor,test,0.4884
Humidity-Sensor,test,0.7088
IC-Base-14-Pin,test,0.573
IC-Base-28-Pin,test,0.7252
IC-Chip,test,0.5974
IGBT,test,0.5073
IR-Sensor,test,0.5363
Inductor,test,0.6557
Keypad,test,0.6369
LCD-Display,test,0.8617
LDR-Sensor,test,0.6087
LED-Light,test,0.6702
Low-Voltage-Ceramic-Capacitor,test,0.4869
MLC-Capacitor,test,0.5194
MOSFET,test,0.4721
Motion-Sensor,test,0.7122
Motor-Driver,test,0.8201
NTC-Thermistor,test,0.4004
OLED-Display,test,0.7908
Pin-Header,test,0.4072
Push-Switch,test,0.5213
RFID-Scanner,test,0.8715
Raindrops-Module,test,0.746
Relay-Module,test,0.7413
Resistor,test,0.6123
Rocker-Switch,test,0.6188
Servo-Motor,test,0.6141
Soil-Moisture-Sensor,test,0.7113
Sonar-Sensor,test,0.7777
TCRT5000,test,0.4344
Tact-Switch,test,0.3572
Taper-Potentiometer,test,0.5122
Trimmer-Potentiometer,test,0.4487
Water-Sensor,test,0.8087
Zener-Diode,test,0.2759
