cluster_id,device_key,cluster_size,splits_present,is_crossing,split,stem,date,time
0,FAMILY:ts_compact,2,test|train,True,test,IMG20241118101346,20241118,101346
0,FAMILY:ts_compact,2,test|train,True,train,IMG20241118101423,20241118,101423
1,FAMILY:ts_compact,2,train|valid,True,valid,IMG20241118101616,20241118,101616
1,FAMILY:ts_compact,2,train|valid,True,train,IMG20241118101626,20241118,101626
2,FAMILY:ts_compact,2,train,False,train,IMG20241118101758,20241118,101758
2,FAMILY:ts_compact,2,train,False,train,IMG20241118101811,20241118,101811
3,FAMILY:ts_compact,2,train|valid,True,valid,IMG20241118101929,20241118,101929
3,FAMILY:ts_compact,2,train|valid,True,train,IMG20241118101936,20241118,101936
4,FAMILY:ts_compact,4,train|valid,True,valid,IMG20241118102139,20241118,102139
4,FAMILY:ts_compact,4,train|valid,True,train,IMG20241118102153,20241118,102153
4,FAMILY:ts_compact,4,train|valid,True,valid,IMG20241118102222,20241118,102222
4,FAMILY:ts_compact,4,train|valid,True,train,IMG20241118102250,20241118,102250
5,FAMILY:ts_compact,2,test|train,True,test,IMG20241118102634,20241118,102634
5,FAMILY:ts_compact,2,test|train,True,train,IMG20241118102657,20241118,102657
6,FAMILY:ts_compact,2,train,False,train,IMG20241118102837,20241118,102837
6,FAMILY:ts_compact,2,train,False,train,IMG20241118102854,20241118,102854
7,FAMILY:ts_compact,1,test,False,test,IMG20241118155549,20241118,155549
8,FAMILY:ts_compact,2,train,False,train,IMG20241118155746,20241118,155746
8,FAMILY:ts_compact,2,train,False,train,IMG20241118155756,20241118,155756
9,FAMILY:ts_compact,2,train|valid,True,valid,IMG20241118160018,20241118,160018
9,FAMILY:ts_compact,2,train|valid,True,train,IMG20241118160025,20241118,160025
10,FAMILY:ts_compact,2,train|valid,True,valid,IMG20241118160143,20241118,160143
10,FAMILY:ts_compact,2,train|valid,True,train,IMG20241118160216,20241118,160216
11,FAMILY:ts_compact,1,train,False,train,IMG20241118160541,20241118,160541
12,FAMILY:ts_compact,6,train|valid,True,train,IMG20241118160725,20241118,160725
12,FAMILY:ts_compact,6,train|valid,True,valid,IMG20241118160737,20241118,160737
12,FAMILY:ts_compact,6,train|valid,True,train,IMG20241118160824,20241118,160824
12,FAMILY:ts_compact,6,train|valid,True,train,IMG20241118160837,20241118,160837
12,FAMILY:ts_compact,6,train|valid,True,train,IMG20241118160924,20241118,160924
12,FAMILY:ts_compact,6,train|valid,True,train,IMG20241118160937,20241118,160937
13,FAMILY:ts_compact,4,test|train,True,test,IMG20241118161125,20241118,161125
13,FAMILY:ts_compact,4,test|train,True,train,IMG20241118161139,20241118,161139
13,FAMILY:ts_compact,4,test|train,True,train,IMG20241118161210,20241118,161210
