cluster_id,device_key,cluster_size,splits_present,is_crossing,split,stem,date,time
0,FAMILY:ts_compact,1,test,False,test,IMG20241118101346,20241118,101346
1,FAMILY:ts_compact,1,train,False,train,IMG20241118101423,20241118,101423
2,FAMILY:ts_compact,2,train|valid,True,valid,IMG20241118101616,20241118,101616
2,FAMILY:ts_compact,2,train|valid,True,train,IMG20241118101626,20241118,101626
3,FAMILY:ts_compact,1,train,False,train,IMG20241118101758,20241118,101758
4,FAMILY:ts_compact,1,train,False,train,IMG20241118101811,20241118,101811
5,FAMILY:ts_compact,2,train|valid,True,valid,IMG20241118101929,20241118,101929
5,FAMILY:ts_compact,2,train|valid,True,train,IMG20241118101936,20241118,101936
6,FAMILY:ts_compact,1,valid,False,valid,IMG20241118102139,20241118,102139
7,FAMILY:ts_compact,1,train,False,train,IMG20241118102153,20241118,102153
8,FAMILY:ts_compact,1,valid,False,valid,IMG20241118102222,20241118,102222
9,FAMILY:ts_compact,1,train,False,train,IMG20241118102250,20241118,102250
10,FAMILY:ts_compact,1,test,False,test,IMG20241118102634,20241118,102634
11,FAMILY:ts_compact,1,train,False,train,IMG20241118102657,20241118,102657
12,FAMILY:ts_compact,1,train,False,train,IMG20241118102837,20241118,102837
13,FAMILY:ts_compact,1,train,False,train,IMG20241118102854,20241118,102854
14,FAMILY:ts_compact,1,test,False,test,IMG20241118155549,20241118,155549
15,FAMILY:ts_compact,2,train,False,train,IMG20241118155746,20241118,155746
15,FAMILY:ts_compact,2,train,False,train,IMG20241118155756,20241118,155756
16,FAMILY:ts_compact,2,train|valid,True,valid,IMG20241118160018,20241118,160018
16,FAMILY:ts_compact,2,train|valid,True,train,IMG20241118160025,20241118,160025
17,FAMILY:ts_compact,1,valid,False,valid,IMG20241118160143,20241118,160143
18,FAMILY:ts_compact,1,train,False,train,IMG20241118160216,20241118,160216
19,FAMILY:ts_compact,1,train,False,train,IMG20241118160541,20241118,160541
20,FAMILY:ts_compact,1,train,False,train,IMG20241118160725,20241118,160725
21,FAMILY:ts_compact,1,valid,False,valid,IMG20241118160737,20241118,160737
22,FAMILY:ts_compact,1,train,False,train,IMG20241118160824,20241118,160824
23,FAMILY:ts_compact,1,train,False,train,IMG20241118160837,20241118,160837
24,FAMILY:ts_compact,1,train,False,train,IMG20241118160924,20241118,160924
25,FAMILY:ts_compact,1,train,False,train,IMG20241118160937,20241118,160937
26,FAMILY:ts_compact,1,test,False,test,IMG20241118161125,20241118,161125
27,FAMILY:ts_compact,1,train,False,train,IMG20241118161139,20241118,161139
28,FAMILY:ts_compact,2,train,False,train,IMG20241118161210,20241118,161210
28,FAMILY:ts_compact,2,train,False,train,IMG20241118161219,20241118,161219
29,FAMILY:ts_compact,2,train,False,train,IMG20241118161324,20241118,161324
29,FAMILY:ts_compact,2,train,False,train,IMG20241118161331,20241118,161331
30,FAMILY:ts_compact,2,train|valid,True,valid,IMG20241118161413,20241118,161413
30,FAMILY:ts_compact,2,train|valid,True,train,IMG20241118161421,20241118,161421
31,FAMILY:ts_compact,1,train,False,train,IMG20241118161459,20241118,161459
32,FAMILY:ts_compact,1,train,False,train,IMG20241118161514,20241118,161514
