image_name,split_before,split_after,capture_date,device_key,n_boxes
IMG20240219114447_jpg.rf.17f4ae6e5444f7c13b822060f07aaa20.jpg,train,valid,20240219,FAMILY:ts_compact,9
IMG20240220115311_jpg.rf.1c80daa7973d917fd97b0058957ec3ce.jpg,train,valid,20240220,FAMILY:ts_compact,5
IMG20240220115659_jpg.rf.8bc7a0c945de24f4e6411e8c0f983d30.jpg,train,test,20240220,FAMILY:ts_compact,8
IMG20240220120321_jpg.rf.0008baacb32b47319be32e32b1d4b538.jpg,train,valid,20240220,FAMILY:ts_compact,6
IMG20240220120325_jpg.rf.947dd106f0b6f01888df780265af242c.jpg,train,test,20240220,FAMILY:ts_compact,6
IMG20240220133631_jpg.rf.a96f657a599afabf66c86f80d54b89d4.jpg,train,valid,20240220,FAMILY:ts_compact,8
IMG20240220134424_jpg.rf.23c39e2d6534477270d078012b58c849.jpg,train,valid,20240220,FAMILY:ts_compact,8
IMG20240220135303_jpg.rf.8acfe37de5cee74a3399f75c97976354.jpg,train,valid,20240220,FAMILY:ts_compact,12
IMG20240220135414_jpg.rf.83a0fa8bd627f8593a10cf12238d039f.jpg,train,test,20240220,FAMILY:ts_compact,12
IMG20240228123750_jpg.rf.acde18461bc3d5135e7ff256e09b934c.jpg,valid,train,20240228,FAMILY:ts_compact,3
IMG20240228124357_jpg.rf.78531851dbe66f6777b92ab0a8e0d224.jpg,valid,train,20240228,FAMILY:ts_compact,5
IMG20240303105743_jpg.rf.178c806118a5c6766c6f775b7e34d7dc.jpg,test,train,20240303,FAMILY:ts_compact,5
IMG20240303105921_jpg.rf.f54468fdbee1c46c5b76ad5dc96edc52.jpg,test,train,20240303,FAMILY:ts_compact,5
IMG20240303110336_jpg.rf.95c3f920baec67877c2348d779f3b6eb.jpg,test,train,20240303,FAMILY:ts_compact,6
IMG20240303110414_jpg.rf.fd5a3805d27ba90298492effe0af7271.jpg,test,train,20240303,FAMILY:ts_compact,6
IMG20240303110620_jpg.rf.c07466cbca9a3e1c84fdc4f2de7be435.jpg,test,train,20240303,FAMILY:ts_compact,6
IMG20240303111152_jpg.rf.2fc93fac1be1044a5b1091b868f39b9c.jpg,test,train,20240303,FAMILY:ts_compact,4
IMG20240303111243_jpg.rf.3315c3e7323dc3995bfa8bd2497dc3ec.jpg,test,train,20240303,FAMILY:ts_compact,3
IMG20240303111248_jpg.rf.59dd4d433461dea39b2824d32ab0f780.jpg,test,train,20240303,FAMILY:ts_compact,3
IMG20240303111325_jpg.rf.58bcb0af71b144d87369fced808a5de6.jpg,test,train,20240303,FAMILY:ts_compact,6
IMG20240303111850_jpg.rf.19fa3d1b4faefad420dcb4b69f5c39f5.jpg,test,train,20240303,FAMILY:ts_compact,6
IMG20240306115356_jpg.rf.0eae075ce4278882bedee11ef7b29267.jpg,test,train,20240306,FAMILY:ts_compact,5
IMG_20240219_115215_jpg.rf.93131c06086a13cd33ccdbd799d7e7ab.jpg,train,test,20240219,FAMILY:ts_underscore,16
IMG_20240219_115224_jpg.rf.2783968303f0d0945b930156c5038da2.jpg,train,valid,20240219,FAMILY:ts_underscore,16
IMG_20240219_115257_jpg.rf.3672021f4a49ce69aaf4f68073365c36.jpg,train,test,20240219,FAMILY:ts_underscore,16
IMG_20240220_114159_jpg.rf.7ccd00359cc2e8e402964d78dc8dd31d.jpg,train,test,20240220,FAMILY:ts_underscore,10
IMG_20240220_114318_jpg.rf.f53fdd5d7f7a513a6db0862caac6c895.jpg,train,valid,20240220,FAMILY:ts_underscore,7
IMG_20240220_115315_jpg.rf.ced2f99f93e2e6e828e5172a92319136.jpg,train,test,20240220,FAMILY:ts_underscore,5
IMG_20240220_115715_jpg.rf.00e867a5b5ffe648695d8fc455e2e9fb.jpg,train,valid,20240220,FAMILY:ts_underscore,8
IMG_20240220_115909_jpg.rf.c2b76de3e3a87be0e396dc69f0b9769a.jpg,train,test,20240220,FAMILY:ts_underscore,7
IMG_20240220_121512_jpg.rf.585f53e81d3c7729c03c444f12d0cd13.jpg,train,valid,20240220,FAMILY:ts_underscore,6
IMG_20240220_131426_jpg.rf.3cf10cf45d5f84da1b043cbbd358e26e.jpg,train,test,20240220,FAMILY:ts_underscore,12
IMG_20240220_131522_jpg.rf.753b7cbabce44c31113b5cf92e29d171.jpg,train,valid,20240220,FAMILY:ts_underscore,12
IMG_20240220_132006_jpg.rf.a2d4b390109fb903546b3572655359cb.jpg,train,valid,20240220,FAMILY:ts_underscore,8
IMG_20240220_134155_jpg.rf.688140ba312883d88a62e09d3b356ce9.jpg,train,test,20240220,FAMILY:ts_underscore,8
IMG_20240220_135229_jpg.rf.f41d27d22204d232b8bafadddaf3505b.jpg,train,test,20240220,FAMILY:ts_underscore,6
IMG_20240220_135309_jpg.rf.c757e32fb85a931f20abef0a2733ad9a.jpg,train,test,20240220,FAMILY:ts_underscore,10
IMG_20240228_124455_jpg.rf.dca8a65c8502f61cea2eabfcbcbd6a69.jpg,valid,train,20240228,FAMILY:ts_underscore,1
IMG_20240228_130525_jpg.rf.1849b11b05b2be2b27a25597a5044da3.jpg,valid,train,20240228,FAMILY:ts_underscore,3
IMG_20240228_131358_jpg.rf.52dc01fb5bb4f95dc565844d4a6f4216.jpg,valid,train,20240228,FAMILY:ts_underscore,3
IMG_20240228_131410_jpg.rf.7de2c93a9da2744775a66a94de0638fc.jpg,valid,train,20240228,FAMILY:ts_underscore,1
IMG_20240228_133047_jpg.rf.da31a7045793a61be4d2909219272f0a.jpg,valid,train,20240228,FAMILY:ts_underscore,6
