class_id,class_name,before_valid,before_test,after_valid,after_test,meets_min
0,1-5-Volt-Battery,109,8,109,8,yes
1,3-3-Volt-Battery,38,90,38,90,yes
2,7-Segment-Display,36,17,36,17,yes
3,9-Volt-Battery,0,0,7,8,yes
4,Arduino-Mega,29,19,29,19,yes
5,Arduino-Nano,105,12,99,12,yes
6,Arduino-Uno,5,1,9,5,yes
7,BJT-Transistor,100,27,94,27,yes
8,Bluetooth-Module,0,0,7,7,yes
9,Breadboard,31,20,31,20,yes
10,Bridge-Rectifier,45,23,45,23,yes
11,Buck-Converter,33,18,33,18,yes
12,Buzzer,0,0,7,10,yes
13,Capacitor-10mf,110,24,96,24,yes
14,Capacitor-470mf,113,22,106,22,yes
15,DC-Motor,31,89,31,89,yes
16,Diode,6,2,10,7,yes
17,ESP32,0,2,5,5,yes
18,ESP32-CAM,37,82,37,82,yes
19,FT-232-USB-Serial-Module,31,88,31,88,yes
20,Film-Capacitor,15,5,18,12,yes
21,Fuse,7,8,12,12,yes
22,Fuse-Base,15,4,18,8,yes
23,GSM-Module,48,24,48,24,yes
24,Gas-Sensor,0,0,8,8,yes
25,Heat-Sink,3,1,6,5,yes
26,High-Voltage-Ceramic-Capacitor,0,0,9,7,yes
27,Humidity-Sensor,45,22,45,22,yes
28,IC-Base-14-Pin,50,22,50,22,yes
29,IC-Base-28-Pin,44,22,44,22,yes
30,IC-Chip,4,2,21,11,yes
31,IGBT,119,15,116,15,yes
32,IR-Sensor,119,20,111,20,yes
33,Inductor,0,0,6,12,yes
34,Keypad,91,12,88,12,yes
35,LCD-Display,0,0,7,9,yes
36,LDR-Sensor,0,0,6,6,yes
37,LED-Light,0,0,8,6,yes
38,Low-Voltage-Ceramic-Capacitor,102,17,102,17,yes
39,MLC-Capacitor,0,0,9,10,yes
40,MOSFET,130,21,121,21,yes
41,Motion-Sensor,48,20,48,20,yes
42,Motor-Driver,0,0,7,5,yes
43,NTC-Thermistor,105,17,97,17,yes
44,OLED-Display,0,0,8,6,yes
45,Pin-Header,104,17,100,17,yes
46,Push-Switch,0,0,16,8,yes
47,RFID-Scanner,0,0,5,5,yes
48,Raindrops-Module,35,87,35,87,yes
49,Relay-Module,45,25,45,25,yes
50,Resistor,33,18,33,18,yes
51,Rocker-Switch,86,12,82,12,yes
52,Servo-Motor,2,3,10,9,yes
53,Soil-Moisture-Sensor,98,21,92,21,yes
54,Sonar-Sensor,0,0,7,7,yes
55,TCRT5000,32,18,32,18,yes
56,Tact-Switch,115,26,105,26,yes
57,Taper-Potentiometer,34,83,34,83,yes
58,Trimmer-Potentiometer,47,21,47,21,yes
59,Water-Sensor,44,21,44,21,yes
60,Zener-Diode,121,21,115,21,yes
