direction,split,group_id,n_images,date_groups,n_classes
admitted,valid,2,1,20240219,6
admitted,valid,396,1,<untimestamped:counter>,6
admitted,valid,47,2,20240220,6
admitted,valid,392,1,<untimestamped:counter>,6
admitted,valid,23,2,20240220,6
admitted,valid,350,1,<untimestamped:counter>,5
admitted,valid,50,2,20240220,5
admitted,valid,213,1,20240220,6
admitted,valid,12,1,20240219,4
admitted,valid,44,3,20240220,6
admitted,valid,431,1,<untimestamped:counter>,4
admitted,valid,351,1,<untimestamped:counter>,5
admitted,valid,30,1,20240220,6
admitted,valid,26,1,20240220,6
admitted,valid,224,3,20240220,6
admitted,test,193,1,20240219,6
admitted,test,390,1,<untimestamped:counter>,6
admitted,test,40,1,20240220,5
admitted,test,388,1,<untimestamped:counter>,6
admitted,test,18,1,20240220,7
admitted,test,209,1,20240220,6
admitted,test,39,2,20240220,8
admitted,test,419,1,<untimestamped:counter>,5
admitted,test,16,1,20240220,6
admitted,test,38,1,20240220,5
admitted,test,29,1,20240220,6
admitted,test,1,1,20240219,5
admitted,test,231,2,20240220,5
admitted,test,7,1,20240219,4
admitted,test,27,1,20240220,6
admitted,test,43,3,20240220,7
returned,valid,263,1,20240228,3
returned,valid,66,3,20240228,7
returned,valid,250,4,20240228,9
returned,valid,268,14,20240228,10
