split,filename_family,stem,date,time,filename
train,ts_compact,IMG20241118101423,20241118,101423,IMG20241118101423_jpg.rf.8cb78d4f4de5b3cad63c2a6c6aeaa3fb.jpg
train,ts_compact,IMG20241118101626,20241118,101626,IMG20241118101626_jpg.rf.89cd701fbeef6487acbe0cd5518d50d5.jpg
train,ts_compact,IMG20241118101758,20241118,101758,IMG20241118101758_jpg.rf.25a89215b94e726ef73ca491134482df.jpg
train,ts_compact,IMG20241118101811,20241118,101811,IMG20241118101811_jpg.rf.a410ac510152a2fdc7a2a75347523ffa.jpg
train,ts_compact,IMG20241118101936,20241118,101936,IMG20241118101936_jpg.rf.6fb5fb0c3beb22683a4c45e62109c96d.jpg
train,ts_compact,IMG20241118102153,20241118,102153,IMG20241118102153_jpg.rf.42c4fea16b689ef8e932a2fbb9f90b87.jpg
train,ts_compact,IMG20241118102250,20241118,102250,IMG20241118102250_jpg.rf.ae1394d80c56603ab36629bbc9b995ab.jpg
train,ts_compact,IMG20241118102657,20241118,102657,IMG20241118102657_jpg.rf.d3ba5b2c0eb095cf6c5714ea675ac319.jpg
train,ts_compact,IMG20241118102837,20241118,102837,IMG20241118102837_jpg.rf.56a2bf93962cea39e46f1f58974e58dd.jpg
train,ts_compact,IMG20241118102854,20241118,102854,IMG20241118102854_jpg.rf.d6661692afd5f221be6fb4296a258211.jpg
train,ts_compact,IMG20241118155746,20241118,155746,IMG20241118155746_jpg.rf.7aa66543a584f711eeb57880ca2fa63c.jpg
train,ts_compact,IMG20241118155756,20241118,155756,IMG20241118155756_jpg.rf.6ed04c81ee57a937922712e3efe3e6b4.jpg
train,ts_compact,IMG20241118160025,20241118,160025,IMG20241118160025_jpg.rf.4a7e210d01d540b4e881602aa81f82f5.jpg
train,ts_compact,IMG20241118160216,20241118,160216,IMG20241118160216_jpg.rf.6fd93583115d1cf902432f251517f0bc.jpg
train,ts_compact_sub,IMG20241118160515_01,20241118,160515,IMG20241118160515_01_jpg.rf.11400dd0e7e3ccd72543986765841746.jpg
train,ts_compact,IMG20241118160541,20241118,160541,IMG20241118160541_jpg.rf.691646a3aa3fe97d679d68ff90e2e95c.jpg
train,ts_compact,IMG20241118160725,20241118,160725,IMG20241118160725_jpg.rf.f246fac51811a20c2d92bcbb58236c22.jpg
train,ts_compact,IMG20241118160824,20241118,160824,IMG20241118160824_jpg.rf.b58e6628ca45216b6164facb303a67d9.jpg
train,ts_compact,IMG20241118160837,20241118,160837,IMG20241118160837_jpg.rf.a8f88f936692780cf4e8bd63f4dc04a9.jpg
train,ts_compact,IMG20241118160924,20241118,160924,IMG20241118160924_jpg.rf.30c3ebe9d6a2264aedb7f9e37cb75c98.jpg
train,ts_compact,IMG20241118160937,20241118,160937,IMG20241118160937_jpg.rf.c14ab06a9e1bf793c628fbb01d41feda.jpg
train,ts_compact,IMG20241118161139,20241118,161139,IMG20241118161139_jpg.rf.4bf51f28734f137bd5a331f5e58cda73.jpg
train,ts_compact,IMG20241118161210,20241118,161210,IMG20241118161210_jpg.rf.df8195cc86f4d846f2485209117abb01.jpg
train,ts_compact,IMG20241118161219,20241118,161219,IMG20241118161219_jpg.rf.fe5ae545034c96d1dadfcd5f4922956e.jpg
train,ts_compact,IMG20241118161324,20241118,161324,IMG20241118161324_jpg.rf.7225e2ca7c658d6b2baa6d4a815395b1.jpg
train,ts_compact,IMG20241118161331,20241118,161331,IMG20241118161331_jpg.rf.01ecec3a93a93b3394b5b68447aa999c.jpg
train,ts_compact,IMG20241118161421,20241118,161421,IMG20241118161421_jpg.rf.44e287bc177e20c837e7c89e5175ed87.jpg
train,ts_compact,IMG20241118161459,20241118,161459,IMG20241118161459_jpg.rf.5bca4c011664968f625c240cdd82b69f.jpg
train,ts_compact,IMG20241118161514,20241118,161514,IMG20241118161514_jpg.rf.01373bd16d7e839ca4e51134407677e4.jpg
train,ts_compact,IMG20241118161548,20241118,161548,IMG20241118161548_jpg.rf.b00bb3f7af8acad34dc851f6a4255864.jpg
train,ts_compact,IMG20241118161624,20241118,161624,IMG20241118161624_jpg.rf.0cb9c07bfc5469cbae66601edc090a35.jpg
train,ts_compact,IMG20241118161711,20241118,161711,IMG20241118161711_jpg.rf.fe24fe9c7bc5a0b17d14523fd5705115.jpg
train,ts_compact,IMG20241118161717,20241118,161717,IMG20241118161717_jpg.rf.1046b29e9f9c67a65748781c35e5db5a.jpg
train,ts_compact,IMG20241118161841,20241118,161841,IMG20241118161841_jpg.rf.4e81436b32366a66fb5338a7ec61cdd8.jpg
train,ts_compact,IMG20241118161943,20241118,161943,IMG20241118161943_jpg.rf.aceb07c145fac708d1532703e411f378.jpg
valid,ts_compact,IMG20241118101616,20241118,101616,IMG20241118101616_jpg.rf.cbc1729d77209b8fd6ab7ebe699005fe.jpg
valid,ts_compact,IMG20241118101929,20241118,101929,IMG20241118101929_jpg.rf.dafd6b79372790e3dbbbf2fba219882f.jpg
valid,ts_compact,IMG20241118102139,20241118,102139,IMG20241118102139_jpg.rf.6418b3cf0378eaf1f9f617115bad879e.jpg
valid,ts_compact,IMG20241118102222,20241118,102222,IMG20241118102222_jpg.rf.146dd64d26dbee54f0ac4df500dcc7f9.jpg
valid,ts_compact,IMG20241118160018,20241118,160018,IMG20241118160018_jpg.rf.80c935bb8f7adf896addbfc2404a0ab8.jpg
valid,ts_compact,IMG20241118160143,20241118,160143,IMG20241118160143_jpg.rf.35f4163fab1069925ad6f250fba3c0b5.jpg
valid,ts_compact,IMG20241118160737,20241118,160737,IMG20241118160737_jpg.rf.5e06ed3c06d11cf68b90208aed4c796b.jpg
valid,ts_compact,IMG20241118161413,20241118,161413,IMG20241118161413_jpg.rf.98a1c2031bf61d38ee2a60c080003dc8.jpg
valid,ts_compact,IMG20241118161632,20241118,161632,IMG20241118161632_jpg.rf.0b7ce0e7b498ca01eaa01dfaa98373a9.jpg
valid,ts_compact,IMG20241118161851,20241118,161851,IMG20241118161851_jpg.rf.cf229d4eaeccf7990832c288d0ef8689.jpg
test,ts_compact,IMG20241118101346,20241118,101346,IMG20241118101346_jpg.rf.46ca6df0ae15f80e935ccc362bc18b63.jpg
test,ts_compact,IMG20241118102634,20241118,102634,IMG20241118102634_jpg.rf.5564e9f10bcf75bf3dcae61988cce4d4.jpg
test,ts_compact,IMG20241118155549,20241118,155549,IMG20241118155549_jpg.rf.6194e642edf6561b9ff84fcf57300f41.jpg
test,ts_compact,IMG20241118161125,20241118,161125,IMG20241118161125_jpg.rf.f953c647407d9ebb575861f88acfd3ff.jpg
test,ts_compact,IMG20241118161536,20241118,161536,IMG20241118161536_jpg.rf.fb602cc49b0dc909ee520e218f3826a7.jpg
